School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2016,Reading,3,6759,Wapello,12,16,75.0,70.1 - 80%,,,,,
2016,Math,8,4536,Mount Pleasant,97,138,70.3,70.1 - 80%,,,,,
2016,Reading,6,4122,Martensdale-St Marys,28,37,75.7,70.1 - 80%,,,,,
2016,Reading,3,0621,Bettendorf,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,11,2457,George-Little Rock,30,35,85.7,80.1 - 90%,,,,,
2016,Math,8,1278,Clinton,131,229,57.2,50.1 - 60%,,,,,
2016,Reading,6,1152,Cherokee,54,64,84.4,80.1 - 90%,,,,,
2016,Reading,8,4086,Marion Independent,105,133,78.9,70.1 - 80%,,,,,
2016,Math,5,2295,Forest City,56,65,86.2,80.1 - 90%,,,,,
2016,Reading,4,5160,PCM,54,68,79.4,70.1 - 80%,,,,,
2016,Reading,7,3715,Linn-Mar,469,549,85.4,80.1 - 90%,,,,,
2016,Math,3,4860,Odebolt-Arthur,15,16,93.8,90.1 - 100%,,,,,
2016,Math,3,5139,Paton-Churdan,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,5,3119,Interstate 35,49,61,80.3,80.1 - 90%,,,,,
2016,Reading,5,4772,Central Springs,35,45,77.8,70.1 - 80%,,,,,
2016,Reading,4,3691,North Cedar,37,51,72.5,70.1 - 80%,,,,,
2016,Reading,8,4581,Muscatine,257,369,69.6,60.1 - 70%,,,,,
2016,Reading,6,2682,GMG,33,41,80.5,80.1 - 90%,,,,,
2016,Reading,7,3312,Keokuk,75,104,72.1,70.1 - 80%,,,,,
2016,Math,8,1413,Coon Rapids-Bayard,22,25,88.0,80.1 - 90%,,,,,
2016,Math,11,3600,Le Mars,114,131,87.0,80.1 - 90%,,,,,
2016,Reading,11,1337,College,259,326,79.4,70.1 - 80%,,,,,
2016,Reading,8,4023,Manson Northwest Webster,38,49,77.6,70.1 - 80%,,,,,
2016,Math,7,4149,MOC-Floyd Valley,65,74,87.8,80.1 - 90%,,,,,
2016,Math,6,3897,LuVerne,,,,Not Reportable,,,,,
2016,Reading,5,4572,Murray,18,27,66.7,60.1 - 70%,,,,,
2016,Math,4,2007,Eldora-New Providence,36,42,85.7,80.1 - 90%,,,,,
