School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2016,Math,8,7002,Whiting,,,,Not Reportable,,,,,
2016,Reading,7,4356,Missouri Valley,49,74,66.2,60.1 - 70%,,,,,
2016,Reading,11,5310,Postville,23,47,48.9,40.1 - 50%,,,,,
2016,Math,5,6561,United,31,35,88.6,80.1 - 90%,,,,,
2016,Math,5,1989,Edgewood-Colesburg,16,31,51.6,50.1 - 60%,,,,,
2016,Reading,11,5328,Prescott,0,0,0.0,Not Reportable,,,,,
2016,Math,4,5139,Paton-Churdan,,,,Not Reportable,,,,,
2016,Reading,6,0657,Eddyville-Blakesburg-,45,64,70.3,70.1 - 80%,,,,,
2016,Math,5,4689,New London,38,44,86.4,80.1 - 90%,,,,,
2016,Math,7,2205,Farragut,16,20,80.0,70.1 - 80%,,,,,
2016,Reading,7,5805,Saydel,56,78,71.8,70.1 - 80%,,,,,
2016,Math,7,3978,East Mills,24,32,75.0,70.1 - 80%,,,,,
2016,Reading,6,6992,Westwood,35,41,85.4,80.1 - 90%,,,,,
2016,Math,5,5895,Seymour,14,22,63.6,60.1 - 70%,,,,,
2016,Reading,8,3375,Knoxville,97,120,80.8,80.1 - 90%,,,,,
2016,Math,5,0063,Akron Westfield,27,38,71.1,70.1 - 80%,,,,,
2016,Reading,7,5121,Panorama,42,63,66.7,60.1 - 70%,,,,,
2016,Math,3,6099,South O'Brien,15,16,93.8,90.1 - 100%,,,,,
2016,Math,8,5486,Remsen-Union,17,17,100.0,90.1 - 100%,,,,,
2016,Math,7,0355,Ar-We-Va,13,15,86.7,80.1 - 90%,,,,,
2016,Math,5,7098,Woodbury Central,32,37,86.5,80.1 - 90%,,,,,
2016,Math,8,0135,Allamakee,66,81,81.5,80.1 - 90%,,,,,
2016,Math,3,5607,Rock Valley,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,6,4269,Midland,15,27,55.6,50.1 - 60%,,,,,
2016,Reading,6,5724,Ruthven-Ayrshire,9,13,69.2,60.1 - 70%,,,,,
2016,Math,4,1968,East Marshall,39,47,83.0,80.1 - 90%,,,,,
2016,Reading,4,5607,Rock Valley,49,67,73.1,70.1 - 80%,,,,,
2016,Reading,3,6165,Stanton,12,16,75.0,70.1 - 80%,,,,,
2016,Math,7,2113,Essex,15,18,83.3,80.1 - 90%,,,,,
2016,Math,3,3195,Greene County,15,16,93.8,90.1 - 100%,,,,,
2016,Math,3,3154,Iowa Valley,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,11,6246,Stratford,0,0,0.0,Not Reportable,,,,,
2016,Math,11,1638,Decorah Community,118,123,95.9,90.1 - 100%,,,,,
2016,Reading,8,2862,Hartley-Melvin-Sanborn,28,40,70.0,60.1 - 70%,,,,,
2016,Math,7,1908,Dunkerton,29,34,85.3,80.1 - 90%,,,,,
2016,Math,3,1079,Central Lee,15,16,93.8,90.1 - 100%,,,,,
2016,Math,8,6937,West Burlington Ind,37,47,78.7,70.1 - 80%,,,,,
2016,Math,5,3555,Lawton-Bronson,27,34,79.4,70.1 - 80%,,,,,
2016,Math,4,5163,Pekin,31,32,96.9,90.1 - 100%,,,,,
2016,Math,5,5607,Rock Valley,45,62,72.6,70.1 - 80%,,,,,
2016,Reading,11,5463,Red Oak,60,83,72.3,70.1 - 80%,,,,,
2016,Math,4,6471,Tripoli,23,26,88.5,80.1 - 90%,,,,,
2016,Reading,3,2097,English Valleys,12,16,75.0,70.1 - 80%,,,,,
2016,Math,6,6509,Turkey Valley,20,20,100.0,90.1 - 100%,,,,,
2016,Reading,7,6822,Waukee,558,638,87.5,80.1 - 90%,,,,,
2016,Math,7,4662,New Hampton,64,70,91.4,90.1 - 100%,,,,,
2016,Math,5,2502,Gladbrook-Reinbeck,28,33,84.8,80.1 - 90%,,,,,
2016,Math,11,3114,Indianola,206,243,84.8,80.1 - 90%,,,,,
2016,Math,8,5121,Panorama,39,51,76.5,70.1 - 80%,,,,,
2016,Math,11,4725,Newton,131,171,76.6,70.1 - 80%,,,,,
2016,Math,7,0846,Brooklyn-Guernsey-Malcom,29,31,93.5,90.1 - 100%,,,,,
2016,Math,5,1719,Denver,60,63,95.2,90.1 - 100%,,,,,
2016,Math,3,2493,Gilmore City-Bradgate,15,16,93.8,90.1 - 100%,,,,,
2016,Math,3,4509,Morning Sun,15,16,93.8,90.1 - 100%,,,,,
2016,Math,7,0916,CAL,14,17,82.4,80.1 - 90%,,,,,
2016,Math,3,0333,North Union,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,5,6937,West Burlington Ind,65,76,85.5,80.1 - 90%,,,,,
2016,Math,8,1197,Clarinda,52,61,85.2,80.1 - 90%,,,,,
2016,Reading,11,1350,Collins-Maxwell,17,34,50.0,40.1 - 50%,,,,,
2016,Math,3,6460,Tri-Center,15,16,93.8,90.1 - 100%,,,,,
2016,Math,5,1431,Corning,11,18,61.1,60.1 - 70%,,,,,
2016,Math,7,3186,Janesville Consolidated,24,25,96.0,90.1 - 100%,,,,,
2016,Reading,6,3798,Logan-Magnolia,31,37,83.8,80.1 - 90%,,,,,
2016,Math,6,1197,Clarinda,51,63,81.0,80.1 - 90%,,,,,
2016,Math,3,7056,Winterset,15,16,93.8,90.1 - 100%,,,,,
2016,Math,8,6099,South O'Brien,39,43,90.7,90.1 - 100%,,,,,
2016,Reading,7,1368,Columbus,30,54,55.6,50.1 - 60%,,,,,
2016,Reading,3,1053,Cedar Rapids,12,16,75.0,70.1 - 80%,,,,,
2016,Math,4,1619,Davis County,68,90,75.6,70.1 - 80%,,,,,
2016,Math,7,1233,Clear Lake,88,93,94.6,90.1 - 100%,,,,,
2016,Math,3,5250,Pleasant Valley,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,7,2718,Griswold,28,34,82.4,80.1 - 90%,,,,,
2016,Reading,5,4787,North Winneshiek,12,13,92.3,90.1 - 100%,,,,,
2016,Math,6,1062,Center Point-Urbana,99,110,90.0,80.1 - 90%,,,,,
2016,Reading,4,6750,Walnut,7,10,70.0,60.1 - 70%,,,,,
2016,Reading,8,5643,Roland-Story,56,73,76.7,70.1 - 80%,,,,,
2016,Reading,8,1278,Clinton,148,229,64.6,60.1 - 70%,,,,,
2016,Math,6,3645,Lewis Central,160,225,71.1,70.1 - 80%,,,,,
2016,Reading,8,0603,Bennett,0,0,0.0,Not Reportable,,,,,
2016,Math,5,0936,Camanche,55,79,69.6,60.1 - 70%,,,,,
2016,Reading,7,0099,Alburnett,32,46,69.6,60.1 - 70%,,,,,
2016,Math,11,0914,CAM,45,57,78.9,70.1 - 80%,,,,,
2016,Reading,3,0609,Benton,12,16,75.0,70.1 - 80%,,,,,
2016,Math,5,3141,Iowa City,645,869,74.2,70.1 - 80%,,,,,
2016,Reading,4,4527,Mount Ayr,33,40,82.5,80.1 - 90%,,,,,
2016,Reading,3,7056,Winterset,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,4,0882,Burlington,199,277,71.8,70.1 - 80%,,,,,
2016,Reading,3,4784,North Scott,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,11,6035,Sioux Central,37,44,84.1,80.1 - 90%,,,,,
2016,Reading,11,4797,Norwalk,155,178,87.1,80.1 - 90%,,,,,
2016,Reading,11,3141,Iowa City,687,843,81.5,80.1 - 90%,,,,,
2016,Reading,7,0916,CAL,11,17,64.7,60.1 - 70%,,,,,
2016,Math,4,5994,Sibley-Ocheyedan,55,65,84.6,80.1 - 90%,,,,,
2016,Reading,8,7002,Whiting,,,,Not Reportable,,,,,
2016,Math,3,1863,Dubuque,15,16,93.8,90.1 - 100%,,,,,
2016,Math,4,1970,East Union,24,35,68.6,60.1 - 70%,,,,,
2016,Reading,3,6651,Villisca,12,16,75.0,70.1 - 80%,,,,,
2016,Math,3,4617,Nevada,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,4,5121,Panorama,35,46,76.1,70.1 - 80%,,,,,
2016,Math,6,2781,Hampton-Dumont,80,94,85.1,80.1 - 90%,,,,,
2016,Reading,11,1675,Delwood,0,0,0.0,Not Reportable,,,,,
2016,Reading,6,6165,Stanton,11,14,78.6,70.1 - 80%,,,,,
2016,Math,7,1944,Eagle Grove,38,47,80.9,80.1 - 90%,,,,,
2016,Reading,3,6992,Westwood,12,16,75.0,70.1 - 80%,,,,,
2016,Math,3,7092,Woodbine,15,16,93.8,90.1 - 100%,,,,,
2016,Math,5,5697,Rudd-Rockford-Marble Rk,21,25,84.0,80.1 - 90%,,,,,
2016,Math,11,3119,Interstate 35,44,52,84.6,80.1 - 90%,,,,,
2016,Math,3,0540,BCLUW,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,8,5160,PCM,71,81,87.7,80.1 - 90%,,,,,
2016,Math,4,4068,Marcus-Meriden-Cleghorn,22,27,81.5,80.1 - 90%,,,,,
2016,Math,11,6854,Wayne,30,34,88.2,80.1 - 90%,,,,,
2016,Math,5,6615,Van Meter,48,51,94.1,90.1 - 100%,,,,,
2016,Reading,6,6512,Twin Cedars,11,17,64.7,60.1 - 70%,,,,,
2016,Math,8,4776,North Mahaska,31,38,81.6,80.1 - 90%,,,,,
2016,Reading,8,3114,Indianola,196,246,79.7,70.1 - 80%,,,,,
2016,Math,8,6098,South Tama County,63,92,68.5,60.1 - 70%,,,,,
2016,Reading,7,1503,Creston,76,98,77.6,70.1 - 80%,,,,,
2016,Reading,11,3231,Johnston,415,470,88.3,80.1 - 90%,,,,,
2016,Reading,6,4644,Newell-Fonda,32,42,76.2,70.1 - 80%,,,,,
2016,Math,5,4778,North Kossuth,12,16,75.0,70.1 - 80%,,,,,
2016,Math,11,6969,West Harrison,20,26,76.9,70.1 - 80%,,,,,
2016,Math,8,4033,Maple Valley-Anthon Oto,36,47,76.6,70.1 - 80%,,,,,
2016,Reading,4,4086,Marion Independent,121,142,85.2,80.1 - 90%,,,,,
2016,Reading,8,4777,North Linn,39,50,78.0,70.1 - 80%,,,,,
2016,Reading,5,1602,Danville,31,40,77.5,70.1 - 80%,,,,,
2016,Reading,8,5121,Panorama,39,51,76.5,70.1 - 80%,,,,,
2016,Math,7,6975,West Liberty,66,73,90.4,90.1 - 100%,,,,,
2016,Math,3,6660,Vinton-Shellsburg,15,16,93.8,90.1 - 100%,,,,,
2016,Math,6,2457,George-Little Rock,23,29,79.3,70.1 - 80%,,,,,
2016,Reading,8,0999,Carroll,88,102,86.3,80.1 - 90%,,,,,
2016,Reading,4,1233,Clear Lake,81,86,94.2,90.1 - 100%,,,,,
2016,Reading,7,0513,Baxter,24,26,92.3,90.1 - 100%,,,,,
2016,Reading,11,0081,Albia,65,76,85.5,80.1 - 90%,,,,,
2016,Reading,11,4068,Marcus-Meriden-Cleghorn,11,19,57.9,50.1 - 60%,,,,,
2016,Reading,5,0977,Cardinal,25,42,59.5,50.1 - 60%,,,,,
2016,Math,4,4505,Mormon Trail,12,16,75.0,70.1 - 80%,,,,,
2016,Math,8,6003,Sidney,25,28,89.3,80.1 - 90%,,,,,
2016,Math,4,6035,Sioux Central,31,36,86.1,80.1 - 90%,,,,,
2016,Math,7,1737,Des Moines Independent,1316,1978,66.5,60.1 - 70%,,,,,
2016,Reading,8,1963,East Buchanan,33,41,80.5,80.1 - 90%,,,,,
2016,Reading,8,1079,Central Lee,51,70,72.9,70.1 - 80%,,,,,
2016,Reading,7,1791,Dike-New Hartford,52,65,80.0,70.1 - 80%,,,,,
2016,Math,5,1944,Eagle Grove,45,54,83.3,80.1 - 90%,,,,,
2016,Math,8,4581,Muscatine,221,369,59.9,50.1 - 60%,,,,,
2016,Math,4,1089,Central City,23,26,88.5,80.1 - 90%,,,,,
2016,Reading,6,2124,Estherville Lincoln,68,101,67.3,60.1 - 70%,,,,,
2016,Math,6,0009,AGWSR,27,36,75.0,70.1 - 80%,,,,,
2016,Math,4,0603,Bennett,,,,Not Reportable,,,,,
2016,Reading,5,0918,Calamus-Wheatland,26,31,83.9,80.1 - 90%,,,,,
2016,Reading,8,4774,North Fayette,0,0,0.0,Not Reportable,,,,,
2016,Math,5,3114,Indianola,208,231,90.0,80.1 - 90%,,,,,
2016,Math,6,3600,Le Mars,127,135,94.1,90.1 - 100%,,,,,
2016,Reading,8,1863,Dubuque,520,739,70.4,70.1 - 80%,,,,,
2016,Math,7,1080,Central,25,29,86.2,80.1 - 90%,,,,,
2016,Reading,6,0225,Ames,239,293,81.6,80.1 - 90%,,,,,
2016,Reading,11,4581,Muscatine,244,344,70.9,70.1 - 80%,,,,,
2016,Reading,5,6165,Stanton,18,18,100.0,90.1 - 100%,,,,,
2016,Math,11,3816,Lone Tree,24,27,88.9,80.1 - 90%,,,,,
2016,Reading,7,2709,Grinnell-Newburg,83,100,83.0,80.1 - 90%,,,,,
2016,Math,6,6512,Twin Cedars,12,17,70.6,70.1 - 80%,,,,,
2016,Math,7,1782,Diagonal,,,,Not Reportable,,,,,
2016,Math,7,1215,Clarksville,13,20,65.0,60.1 - 70%,,,,,
2016,Reading,11,4572,Murray,22,24,91.7,90.1 - 100%,,,,,
2016,Math,5,0108,Alden,15,19,78.9,70.1 - 80%,,,,,
2016,Reading,11,6961,Western Dubuque,221,304,72.7,70.1 - 80%,,,,,
2016,Math,4,4788,Northwood-Kensett,31,35,88.6,80.1 - 90%,,,,,
2016,Reading,6,7056,Winterset,107,130,82.3,80.1 - 90%,,,,,
2016,Reading,3,0513,Baxter,12,16,75.0,70.1 - 80%,,,,,
2016,Math,3,0549,Bedford,15,16,93.8,90.1 - 100%,,,,,
2016,Math,7,4779,North Polk,117,122,95.9,90.1 - 100%,,,,,
2016,Reading,5,4033,Maple Valley-Anthon Oto,31,43,72.1,70.1 - 80%,,,,,
2016,Reading,6,2466,Gilbert,82,95,86.3,80.1 - 90%,,,,,
2016,Reading,7,6660,Vinton-Shellsburg,93,102,91.2,90.1 - 100%,,,,,
2016,Reading,7,0914,CAM,37,44,84.1,80.1 - 90%,,,,,
2016,Math,3,4527,Mount Ayr,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,4,4581,Muscatine,277,368,75.3,70.1 - 80%,,,,,
2016,Reading,6,1701,Denison,93,133,69.9,60.1 - 70%,,,,,
2016,Math,8,7098,Woodbury Central,30,37,81.1,80.1 - 90%,,,,,
2016,Reading,7,0135,Allamakee,71,96,74.0,70.1 - 80%,,,,,
2016,Math,6,1611,Davenport,663,1032,64.2,60.1 - 70%,,,,,
2016,Math,4,6093,Solon,115,128,89.8,80.1 - 90%,,,,,
2016,Math,11,0609,Benton,101,112,90.2,90.1 - 100%,,,,,
2016,Reading,7,0333,North Union,0,0,0.0,Not Reportable,,,,,
2016,Reading,4,3348,Kingsley-Pierson,22,28,78.6,70.1 - 80%,,,,,
2016,Math,5,3168,IKM-Manning,31,41,75.6,70.1 - 80%,,,,,
2016,Math,4,2466,Gilbert,104,109,95.4,90.1 - 100%,,,,,
2016,Reading,7,6651,Villisca,32,42,76.2,70.1 - 80%,,,,,
2016,Math,6,4518,Moulton-Udell,7,11,63.6,60.1 - 70%,,,,,
2016,Reading,3,6096,Southeast Webster Grand,12,16,75.0,70.1 - 80%,,,,,
2016,Math,3,4356,Missouri Valley,15,16,93.8,90.1 - 100%,,,,,
2016,Math,8,3691,North Cedar,41,56,73.2,70.1 - 80%,,,,,
2016,Math,3,6985,West Marshall,15,16,93.8,90.1 - 100%,,,,,
2016,Math,7,6030,Sioux Center,65,72,90.3,90.1 - 100%,,,,,
2016,Math,4,4356,Missouri Valley,41,53,77.4,70.1 - 80%,,,,,
2016,Math,6,1737,Des Moines Independent,1222,2171,56.3,50.1 - 60%,,,,,
2016,Math,5,0594,Belmond-Klemme,31,53,58.5,50.1 - 60%,,,,,
2016,Reading,7,4662,New Hampton,57,70,81.4,80.1 - 90%,,,,,
2016,Math,8,1116,Charles City,72,113,63.7,60.1 - 70%,,,,,
2016,Math,8,0441,A-H-S-T,40,44,90.9,90.1 - 100%,,,,,
2016,Math,8,5976,Shenandoah,50,62,80.6,80.1 - 90%,,,,,
2016,Reading,5,1071,Centerville,58,83,69.9,60.1 - 70%,,,,,
2016,Reading,3,0153,North Butler,12,16,75.0,70.1 - 80%,,,,,
2016,Math,6,3312,Keokuk,76,109,69.7,60.1 - 70%,,,,,
2016,Reading,5,6840,Waverly-Shell Rock,134,154,87.0,80.1 - 90%,,,,,
2016,Math,4,1908,Dunkerton,24,30,80.0,70.1 - 80%,,,,,
2016,Math,11,3906,Lynnville-Sully,32,32,100.0,90.1 - 100%,,,,,
2016,Reading,6,7092,Woodbine,28,35,80.0,70.1 - 80%,,,,,
2016,Reading,8,6516,Twin Rivers,0,0,0.0,Not Reportable,,,,,
2016,Reading,7,3906,Lynnville-Sully,27,39,69.2,60.1 - 70%,,,,,
2016,Math,7,4446,Monticello,62,79,78.5,70.1 - 80%,,,,,
2016,Reading,4,6039,Sioux City,672,1026,65.5,60.1 - 70%,,,,,
2016,Math,4,6030,Sioux Center,71,94,75.5,70.1 - 80%,,,,,
2016,Math,7,2151,Exira-Elk Horn-,17,22,77.3,70.1 - 80%,,,,,
2016,Math,8,1965,Easton Valley,27,32,84.4,80.1 - 90%,,,,,
2016,Reading,11,6100,South Winneshiek,44,55,80.0,70.1 - 80%,,,,,
2016,Reading,6,1095,Central Lyon,42,47,89.4,80.1 - 90%,,,,,
2016,Math,11,5013,Oskaloosa,132,164,80.5,80.1 - 90%,,,,,
2016,Reading,8,6750,Walnut,0,0,0.0,Not Reportable,,,,,
2016,Math,4,4269,Midland,21,28,75.0,70.1 - 80%,,,,,
2016,Reading,5,6921,West Bend-Mallard,10,16,62.5,60.1 - 70%,,,,,
2016,Reading,3,3555,Lawton-Bronson,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,4,0585,Bellevue,39,49,79.6,70.1 - 80%,,,,,
2016,Math,6,0261,Ankeny,686,777,88.3,80.1 - 90%,,,,,
2016,Reading,6,5184,Perry,63,115,54.8,50.1 - 60%,,,,,
2016,Reading,3,0882,Burlington,12,16,75.0,70.1 - 80%,,,,,
2016,Math,5,4356,Missouri Valley,41,52,78.8,70.1 - 80%,,,,,
2016,Reading,6,6098,South Tama County,63,100,63.0,60.1 - 70%,,,,,
2016,Reading,8,1116,Charles City,87,114,76.3,70.1 - 80%,,,,,
2016,Reading,3,5139,Paton-Churdan,12,16,75.0,70.1 - 80%,,,,,
2016,Math,5,0027,Adel DeSoto Minburn,92,116,79.3,70.1 - 80%,,,,,
2016,Math,3,1972,Eastern Allamakee,15,16,93.8,90.1 - 100%,,,,,
2016,Math,6,6990,West Sioux,44,52,84.6,80.1 - 90%,,,,,
2016,Math,8,0621,Bettendorf,270,336,80.4,80.1 - 90%,,,,,
2016,Reading,8,6660,Vinton-Shellsburg,82,108,75.9,70.1 - 80%,,,,,
2016,Math,6,6462,Tri-County,3,12,25.0,20.1 - 30%,,,,,
2016,Reading,7,5166,Pella,125,154,81.2,80.1 - 90%,,,,,
2016,Math,11,5895,Seymour,17,19,89.5,80.1 - 90%,,,,,
2016,Math,5,1926,Durant,31,44,70.5,70.1 - 80%,,,,,
2016,Reading,3,1206,Clarion-Goldfield-Dows,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,5,5643,Roland-Story,61,74,82.4,80.1 - 90%,,,,,
2016,Math,4,1093,Central Decatur,32,45,71.1,70.1 - 80%,,,,,
2016,Reading,7,7056,Winterset,80,96,83.3,80.1 - 90%,,,,,
2016,Math,6,6097,South Page,,,,Not Reportable,,,,,
2016,Reading,5,3978,East Mills,33,37,89.2,80.1 - 90%,,,,,
2016,Math,6,0513,Baxter,15,21,71.4,70.1 - 80%,,,,,
2016,Math,6,4725,Newton,149,188,79.3,70.1 - 80%,,,,,
2016,Math,6,0108,Alden,65,87,74.7,70.1 - 80%,,,,,
2016,Math,11,4772,Central Springs,51,54,94.4,90.1 - 100%,,,,,
2016,Reading,3,6985,West Marshall,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,8,4689,New London,29,39,74.4,70.1 - 80%,,,,,
2016,Reading,6,5325,Prairie Valley,0,0,0.0,Not Reportable,,,,,
2016,Math,4,3798,Logan-Magnolia,40,42,95.2,90.1 - 100%,,,,,
2016,Math,4,0472,Ballard,90,101,89.1,80.1 - 90%,,,,,
2016,Reading,8,4536,Mount Pleasant,104,138,75.4,70.1 - 80%,,,,,
2016,Math,11,3330,Keota,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,6,5823,Schaller-Crestland,47,54,87.0,80.1 - 90%,,,,,
2016,Math,7,0072,Albert City-Truesdale,0,0,0.0,Not Reportable,,,,,
2016,Reading,4,2151,Exira-Elk Horn-,18,20,90.0,80.1 - 90%,,,,,
2016,Reading,6,2295,Forest City,61,74,82.4,80.1 - 90%,,,,,
2016,Math,7,4131,Mason City,191,237,80.6,80.1 - 90%,,,,,
2016,Reading,7,5823,Schaller-Crestland,37,41,90.2,90.1 - 100%,,,,,
2016,Math,4,1215,Clarksville,22,25,88.0,80.1 - 90%,,,,,
2016,Reading,4,1638,Decorah Community,79,92,85.9,80.1 - 90%,,,,,
2016,Math,8,4041,Maquoketa,85,109,78.0,70.1 - 80%,,,,,
2016,Reading,4,3841,Louisa-Muscatine,41,51,80.4,80.1 - 90%,,,,,
2016,Reading,5,2369,Fremont-Mills,19,23,82.6,80.1 - 90%,,,,,
2016,Math,7,4978,Orient-Macksburg,9,10,90.0,80.1 - 90%,,,,,
2016,Math,11,6759,Wapello,44,56,78.6,70.1 - 80%,,,,,
2016,Math,11,0099,Alburnett,31,36,86.1,80.1 - 90%,,,,,
2016,Reading,7,5310,Postville,25,47,53.2,50.1 - 60%,,,,,
2016,Math,11,7047,Winfield-Mt Union,27,32,84.4,80.1 - 90%,,,,,
2016,Math,6,0936,Camanche,45,67,67.2,60.1 - 70%,,,,,
2016,Reading,11,7056,Winterset,103,123,83.7,80.1 - 90%,,,,,
2016,Reading,7,3609,Lenox,19,28,67.9,60.1 - 70%,,,,,
2016,Reading,7,7029,Williamsburg,59,75,78.7,70.1 - 80%,,,,,
2016,Reading,6,4518,Moulton-Udell,8,11,72.7,70.1 - 80%,,,,,
2016,Math,4,6138,Springville,17,21,81.0,80.1 - 90%,,,,,
2016,Math,5,0504,Battle Creek-Ida Grove,32,41,78.0,70.1 - 80%,,,,,
2016,Reading,4,3978,East Mills,29,37,78.4,70.1 - 80%,,,,,
2016,Math,5,2772,Hamburg,10,20,50.0,40.1 - 50%,,,,,
2016,Reading,3,2511,Glenwood,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,7,4617,Nevada,94,118,79.7,70.1 - 80%,,,,,
2016,Math,8,6453,Treynor,48,55,87.3,80.1 - 90%,,,,,
2016,Math,4,3897,LuVerne,,,,Not Reportable,,,,,
2016,Reading,8,1782,Diagonal,,,,Not Reportable,,,,,
2016,Reading,7,2466,Gilbert,101,109,92.7,90.1 - 100%,,,,,
2016,Math,3,1975,River Valley,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,3,6003,Sidney,12,16,75.0,70.1 - 80%,,,,,
2016,Math,11,6741,East Sac County,45,59,76.3,70.1 - 80%,,,,,
2016,Math,4,1576,Dallas Center-Grimes,185,201,92.0,90.1 - 100%,,,,,
2016,Math,7,6219,Storm Lake,126,154,81.8,80.1 - 90%,,,,,
2016,Reading,5,3798,Logan-Magnolia,35,43,81.4,80.1 - 90%,,,,,
2016,Math,3,0576,Belle Plaine,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,6,3897,LuVerne,,,,Not Reportable,,,,,
2016,Math,11,1965,Easton Valley,39,45,86.7,80.1 - 90%,,,,,
2016,Reading,6,0540,BCLUW,41,47,87.2,80.1 - 90%,,,,,
2016,Reading,8,2124,Estherville Lincoln,57,85,67.1,60.1 - 70%,,,,,
2016,Math,5,7092,Woodbine,23,28,82.1,80.1 - 90%,,,,,
2016,Reading,3,3978,East Mills,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,4,0279,Aplington-Parkersburg,45,51,88.2,80.1 - 90%,,,,,
2016,Reading,11,1206,Clarion-Goldfield-Dows,56,72,77.8,70.1 - 80%,,,,,
2016,Math,8,2151,Exira-Elk Horn-,22,32,68.8,60.1 - 70%,,,,,
2016,Reading,11,5832,Schleswig,0,0,0.0,Not Reportable,,,,,
2016,Reading,11,6957,West Des Moines,536,653,82.1,80.1 - 90%,,,,,
2016,Math,11,1152,Cherokee,49,60,81.7,80.1 - 90%,,,,,
2016,Reading,5,4775,Northeast Hamilton,,,,Not Reportable,,,,,
2016,Reading,6,0009,AGWSR,27,36,75.0,70.1 - 80%,,,,,
2016,Reading,3,6035,Sioux Central,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,6,2511,Glenwood,112,126,88.9,80.1 - 90%,,,,,
2016,Reading,6,3465,Lamoni,24,26,92.3,90.1 - 100%,,,,,
2016,Reading,3,4787,North Winneshiek,12,16,75.0,70.1 - 80%,,,,,
2016,Math,4,1062,Center Point-Urbana,94,110,85.5,80.1 - 90%,,,,,
2016,Reading,8,5805,Saydel,58,87,66.7,60.1 - 70%,,,,,
2016,Reading,8,3537,Laurens-Marathon,11,18,61.1,60.1 - 70%,,,,,
2016,Math,6,2988,Hinton,45,62,72.6,70.1 - 80%,,,,,
2016,Reading,6,1278,Clinton,155,214,72.4,70.1 - 80%,,,,,
2016,Math,8,1093,Central Decatur,25,34,73.5,70.1 - 80%,,,,,
2016,Math,11,0513,Baxter,23,30,76.7,70.1 - 80%,,,,,
2016,Reading,4,6561,United,21,24,87.5,80.1 - 90%,,,,,
2016,Math,4,1095,Central Lyon,46,55,83.6,80.1 - 90%,,,,,
2016,Math,3,1359,Colo-NESCO,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,6,1082,Central DeWitt,80,100,80.0,70.1 - 80%,,,,,
2016,Reading,8,6651,Villisca,30,44,68.2,60.1 - 70%,,,,,
2016,Reading,7,5697,Rudd-Rockford-Marble Rk,25,36,69.4,60.1 - 70%,,,,,
2016,Math,3,6246,Stratford,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,5,3195,Greene County,66,82,80.5,80.1 - 90%,,,,,
2016,Math,4,2088,Emmetsburg,43,63,68.3,60.1 - 70%,,,,,
2016,Math,11,4033,Maple Valley-Anthon Oto,36,48,75.0,70.1 - 80%,,,,,
2016,Math,11,6462,Tri-County,19,21,90.5,90.1 - 100%,,,,,
2016,Reading,8,1233,Clear Lake,74,90,82.2,80.1 - 90%,,,,,
2016,Reading,6,6453,Treynor,54,61,88.5,80.1 - 90%,,,,,
2016,Math,7,2727,Grundy Center,38,43,88.4,80.1 - 90%,,,,,
2016,Math,11,4269,Midland,23,27,85.2,80.1 - 90%,,,,,
2016,Math,3,1638,Decorah Community,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,3,5805,Saydel,12,16,75.0,70.1 - 80%,,,,,
2016,Math,4,4995,Osage,52,63,82.5,80.1 - 90%,,,,,
2016,Math,8,4023,Manson Northwest Webster,44,49,89.8,80.1 - 90%,,,,,
2016,Reading,7,3042,Hudson,45,58,77.6,70.1 - 80%,,,,,
2016,Math,3,4978,Orient-Macksburg,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,4,3744,Lisbon,43,52,82.7,80.1 - 90%,,,,,
2016,Math,11,1953,Earlham,44,49,89.8,80.1 - 90%,,,,,
2016,Math,11,2313,Fort Dodge,170,235,72.3,70.1 - 80%,,,,,
2016,Reading,11,2124,Estherville Lincoln,69,84,82.1,80.1 - 90%,,,,,
2016,Math,8,3114,Indianola,187,246,76.0,70.1 - 80%,,,,,
2016,Math,4,1863,Dubuque,498,672,74.1,70.1 - 80%,,,,,
